ADDRESS	PROTOCOL
http://www.wareztorrent.com:80/announce	HTTP
udp://tracker.eddie4.nl:6969/announce	UDP
http://tracker2.wasabii.com.tw:6969/announce	HTTP
udp://tracker.sktorrent.net:6969/announce	UDP
udp://bt.xxx-tracker.com:2710/announce	UDP
udp://tracker.opentrackr.org:1337/announce	UDP
udp://tracker.mg64.net:2710/announce	UDP
udp://wambo.club:1337/announce	UDP
udp://tracker.grepler.com:6969/announce	UDP
https://open.kickasstracker.com:443/announce	HTTPS
udp://tracker.coppersurfer.tk:6969/announce	UDP
udp://open.stealth.si:80/announce	UDP
udp://tracker.justseed.it:1337/announce	UDP
udp://tc.animereactor.ru:8082/announce	UDP
udp://tracker.leechers-paradise.org:6969/announce	UDP
udp://tracker.dutchtracking.com:6969/announce	UDP
http://87.253.152.137/announce	HTTP
http://91.216.110.47/announce	HTTP
http://91.217.91.21:3218/announce	HTTP
http://91.218.230.81:6969/announce	HTTP
http://93.92.64.5/announce	HTTP
https://182.176.139.129:6969/announce	HTTPS
http://bt.pusacg.org:8080/announce	HTTP
https://tracker.bt-hash.com:443/announce	HTTPS
udp://tracker.leechers-paradise.org:6969	UDP
http://bt.henbt.com:2710/announce	HTTP
http://atrack.pow7.com/announce	HTTP
https://tracker.dutchtracking.com:80/announce	HTTPS
https://grifon.info:80/announce	HTTPS
https://tracker.parrotsec.org:443/announce	HTTPS
udp://tracker.aletorrenty.pl:2710/announce	UDP
udp://p4p.arenabg.com:1337/announce	UDP
https://tracker.moxing.party:6969/announce	HTTPS
udp://tracker.internetwarriors.net:1337/announce	UDP
udp://zephir.monocul.us:6969/announce	UDP
udp://tracker.kicks-ass.net:80/announce	UDP
https://tracker.ipv6tracker.ru:80/announce	HTTPS
https://explodie.org:6969/announce	HTTPS
https://tracker.fastdownload.xyz:443/announce	HTTPS
https://gwp2-v19.rinet.ru:80/announce	HTTPS
https://tr.kxmp.cf:80/announce	HTTPS
